Tên sản phẩm,Danh Mục,Thương hiệu,JSON Attributes,Link Shop,Giá
Áo hoodie nam POLOMANOR cộc tay dáng suông vải da cá mặc mùa hè thoáng mát phong cách layer độc đáo,"Áo Hoodie, Áo Len & Áo Nỉ",POLOMANOR,"{""Danh Mục"":""Áo hoodie"",""Thương hiệu"":""POLOMANOR"",""Chất liệu"":""Nỉ da cá mỏng"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hiện đại, Layering"",""Mẫu"":""Cộc tay"",""Mùa"":""Mùa hè"",""Tính năng"":""Thoáng mát, dễ phối layer"",""Hoàn cảnh"":""Dạo phố, Cafe"",""Chiều dài tay áo"":""Ngắn tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu áo thun"":""Oversize""}",null,390.000 đ
Áo hoodie nam SUKIYA phong cách tối giản Nhật Bản vải nỉ bông siêu nhẹ ấm áp mùa đông,"Áo Hoodie, Áo Len & Áo Nỉ",SUKIYA,"{""Danh Mục"":""Áo hoodie"",""Thương hiệu"":""SUKIYA"",""Chất liệu"":""Nỉ bông mềm"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Nhật Bản, Tối giản"",""Mẫu"":""Trơn basic"",""Mùa"":""Mùa đông"",""Tính năng"":""Siêu nhẹ, giữ nhiệt"",""Hoàn cảnh"":""Mặc hàng ngày, Dạo phố"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu áo thun"":""Regular Fit""}",null,350.000 đ
Áo Hoodie Nam SUKIYA Zip-Up Tiện Lợi Vải Da Cá Mềm Mịn SK-HD02,"Áo Hoodie, Áo Len & Áo Nỉ",SUKIYA,"{""Danh Mục"":""Áo hoodie"",""Thương hiệu"":""SUKIYA"",""Chất liệu"":""Nỉ da cá"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Casual, Tiện dụng"",""Mẫu"":""Trơn"",""Mùa"":""Thu Đông"",""Tính năng"":""Mềm mịn, thấm hút tốt"",""Hoàn cảnh"":""Mặc nhà, Đi học"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu nút"":""Khóa kéo"",""Kiểu áo thun"":""Regular Fit""}",null,420.000 đ
Áo Hoodie BOO Oversized Graphic Streetwear Hoodie Cá Tính Unisex B-HD99,"Áo Hoodie, Áo Len & Áo Nỉ",BOO,"{""Danh Mục"":""Áo hoodie"",""Thương hiệu"":""BOO"",""Chất liệu"":""Nỉ chân cua định lượng cao"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Streetwear, Unisex"",""Mẫu"":""In Graphic mặt lưng"",""Mùa"":""Thu Đông"",""Tính năng"":""Form rộng cá tính, đứng form"",""Hoàn cảnh"":""Đi chơi, Sự kiện OOTD"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu áo thun"":""Oversize"",""Rất lớn"":""Có""}",null,550.000 đ
Áo hoodie nam BOO form rộng thêu gấu dễ thương vải nỉ cotton dày dặn năng động dạo phố,"Áo Hoodie, Áo Len & Áo Nỉ",BOO,"{""Danh Mục"":""Áo hoodie"",""Thương hiệu"":""BOO"",""Chất liệu"":""Nỉ cotton dày"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Trẻ trung, Năng động"",""Mẫu"":""Thêu logo Gấu"",""Mùa"":""Thu Đông"",""Tính năng"":""Giữ ấm, mềm mại"",""Hoàn cảnh"":""Dạo phố, Hẹn hò, Mặc đôi"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu áo thun"":""Form suông""}",null,480.000 đ
Áo khoác gió nam daily wear siêu nhẹ trượt nước và chống tia UV Coolmate,Áo khoác,Coolmate,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Coolmate"",""Chất liệu"":""100% Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao, Năng động"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Siêu nhẹ, Trượt nước, Chống tia UV, Cản gió"",""Hoàn cảnh"":""Đi học, Đi làm, Đi chơi, Hoạt động ngoài trời"",""Chiều dài tay áo"":""Dài tay"",""Kiểu nút"":""Khóa kéo"",""Kiểu áo khoác"":""Áo khoác gió""}",https://shopee.vn/-SALE-T%E1%BA%BET-%C3%81o-kho%C3%A1c-gi%C3%B3-nam-n%E1%BB%AF-unisex-daily-wear-si%C3%AAu-nh%E1%BA%B9-tr%C6%B0%E1%BB%A3t-n%C6%B0%E1%BB%9Bc-v%C3%A0-ch%E1%BB%91ng-tia-UV-Coolmate-i.24710134.20356107080,395.000đ
Áo khoác gió nam YODY thông minh cản gió chống thấm nước cản bụi MCWC25A037,Áo khoác,YODY,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""YODY"",""Chất liệu"":""100% Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Năng động, Tiện lợi"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Cản gió, Chống thấm nước, Cản bụi, Giữ ấm"",""Hoàn cảnh"":""Đi làm, Đi chơi, Hoạt động ngoài trời"",""Chiều dài tay áo"":""Dài tay"",""Kiểu nút"":""Khóa kéo"",""Kiểu áo khoác"":""Áo khoác gió""}",https://shopee.vn/%C3%81o-kho%C3%A1c-gi%C3%B3-nam-YODY-th%C3%B4ng-minh-c%E1%BA%A3n-gi%C3%B3-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-c%E1%BA%A3n-b%E1%BB%A5i-MCWC25A037-i.173392916.10745881567,479.000đ
Áo khoác gió nam Yody 3C Promax cản gió cản bụi giữ ấm MCJA25F091,Áo khoác,YODY,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Yody"",""Chất liệu"":""100% Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao, Năng động"",""Mẫu"":""Trơn / Phối màu"",""Mùa"":""Mùa thu đông"",""Tính năng"":""Cản gió, Cản bụi, Giữ ấm, Chống thấm nước nhẹ"",""Hoàn cảnh"":""Đi làm, Đi chơi, Hoạt động ngoài trời"",""Chiều dài tay áo"":""Dài tay"",""Kiểu nút"":""Khóa kéo"",""Kiểu áo khoác"":""Áo khoác gió""}",https://shopee.vn/%C3%81o-kho%C3%A1c-gi%C3%B3-nam-Yody-3C-Promax-c%E1%BA%A3n-gi%C3%B3-c%E1%BA%A3n-b%E1%BB%A5i-gi%E1%BB%AF-%E1%BA%A5m-MCJA25F091-i.173392916.20784854176?extraParams=%7B%22display_model_id%22%3A127723127697%2C%22model_selection_logic%22%3A3%7D,499.000đ
Áo khoác gió nam Cao Cấp chống nắng ORIN BST QUIET STRENGTH,Áo khoác,POLOMANOR,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""POLOMANOR"",""Chất liệu"":""Vải gió cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thanh lịch, Sang trọng"",""Mẫu"":""Trơn / Phối màu tinh tế"",""Mùa"":""Bốn mùa"",""Tính năng"":""Chống nắng, Cản gió, Trượt nước, Thoáng khí"",""Hoàn cảnh"":""Đi làm, Đi chơi, Sự kiện, Đi ngoài trời"",""Chiều dài tay áo"":""Dài tay"",""Kiểu nút"":""Khóa kéo"",""Kiểu áo khoác"":""Áo khoác gió""}",https://shopee.vn/-NEW-%C3%81o-kho%C3%A1c-gi%C3%B3-nam-Cao-C%E1%BA%A5p-ch%E1%BB%91ng-n%E1%BA%AFng-ORIN-BST-QUIET-STRENGTH-thanh-l%E1%BB%8Bch-POLOMANOR-i.225909574.46950092744?extraParams=%7B%22display_model_id%22%3A370007259468%2C%22model_selection_logic%22%3A3%7D,450.000đ
"Áo khoác gió nam GUZADO cao cấp chống nước chống gió, giữ ấm, kháng bụi tốt GAG15",Áo khoác,GUZADO,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""GUZADO"",""Chất liệu"":""Vải gió cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao"",""Mẫu"":""Trơn"",""Mùa"":""Thu Đông"",""Tính năng"":""Chống nước, chống gió, giữ ấm, kháng bụi"",""Hoàn cảnh"":""Hằng ngày, Thể thao"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ cao, mũ tháo rời"",""Kiểu nút"":""Khóa kéo"",""Kiểu áo khoác"":""Áo khoác gió""}",https://shopee.vn/%C3%81o-kho%C3%A1c-gi%C3%B3-nam-GUZADO-cao-c%E1%BA%A5p-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-ch%E1%BB%91ng-gi%C3%B3-gi%E1%BB%AF-%E1%BA%A5m-kh%C3%A1ng-b%E1%BB%A5i-t%E1%BB%91t-GAG15-i.201774917.15291609639?extraParams=%7B%22display_model_id%22%3A107727553753%2C%22model_selection_logic%22%3A3%7D,324.000đ
Áo khoác gió nam ZETIS UltraLight siêu nhẹ cản gió chống thấm nước vượt trội ZE001,Áo khoác,ZETIS,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Vải dù siêu nhẹ"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao, Năng động"",""Mẫu"":""Trơn"",""Mùa"":""Mùa thu, Mùa đông"",""Tính năng"":""Siêu nhẹ, cản gió, trượt nước"",""Hoàn cảnh"":""Đi dạo, Thể thao ngoài trời, Đi xe máy"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ đứng"",""Kiểu áo khoác"":""Áo khoác dù"",""Kiểu nút"":""Khóa kéo""}",null,350.000 đ
Áo khoác gió nam ZETIS X-Treme cản gió lót lưới thoáng khí giữ ấm thu đông ZE002,Áo khoác,ZETIS,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Vải gió lót lưới"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Casual, Hiện đại"",""Mẫu"":""Phối màu viền"",""Mùa"":""Thu Đông"",""Tính năng"":""Cản gió, giữ ấm, thoáng khí"",""Hoàn cảnh"":""Đi làm, Đi dã ngoại"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ bẻ"",""Kiểu áo khoác"":""Áo khoác gió 2 lớp"",""Kiểu nút"":""Khóa kéo""}",null,420.000 đ
Áo khoác gió nam ZETIS TechWear 2 lớp chống nhăn chống tia UV đa năng ZE003,Áo khoác,ZETIS,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Polyester 100%"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Techwear, Đường phố"",""Mẫu"":""Nhiều túi"",""Mùa"":""Bốn mùa"",""Tính năng"":""Chống UV, chống nhăn, chống bụi"",""Hoàn cảnh"":""Đi phượt, Du lịch"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu áo khoác"":""Áo khoác chống nắng"",""Kiểu nút"":""Khóa kéo chống nước""}",null,480.000 đ
Áo khoác gió nam ZETIS SportForm có mũ trượt nước tiện lợi chạy bộ thể thao ZE004,Áo khoác,ZETIS,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Vải dù Microfiber"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao chuyên dụng"",""Mẫu"":""Logo phản quang"",""Mùa"":""Mùa hè, Mùa thu"",""Tính năng"":""Trượt nước, khô nhanh"",""Hoàn cảnh"":""Chạy bộ, Đạp xe"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ (Hooded)"",""Kiểu áo khoác"":""Áo khoác thể thao"",""Kiểu nút"":""Khóa kéo""}",null,390.000 đ
Áo khoác gió nam ZETIS ProShield phản quang ban đêm an toàn chống bụi bẩn ZE005,Áo khoác,ZETIS,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Nylon tráng màng PU"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Bảo hộ, An toàn"",""Mẫu"":""Trơn phối dải phản quang"",""Mùa"":""Bốn mùa"",""Tính năng"":""Phản quang ban đêm, cản bụi xuất sắc"",""Hoàn cảnh"":""Đi làm đêm, Phượt xe máy"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ cao"",""Kiểu áo khoác"":""Áo khoác phản quang"",""Kiểu nút"":""Khóa kéo và cúc bấm""}",null,450.000 đ
Áo khoác gió nam NOVAR AirBreeze mỏng nhẹ cản gió chống tia UV đi nắng NV101,Áo khoác,NOVAR,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""NOVAR"",""Chất liệu"":""Vải dù lụa"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Tối giản, Tiện lợi"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Chống nắng (UPF 50+), mỏng nhẹ"",""Hoàn cảnh"":""Đi làm, Mặc khoác ngoài ban ngày"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ tháo rời"",""Kiểu áo khoác"":""Áo khoác đi nắng"",""Kiểu nút"":""Khóa kéo nhựa""}",null,299.000 đ
Áo khoác gió nam NOVAR Thermal lót lông cừu giữ nhiệt cản gió chống rét NV102,Áo khoác,NOVAR,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""NOVAR"",""Chất liệu"":""Vải dù cản gió lót lông cừu nhân tạo"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thời trang mùa đông"",""Mẫu"":""Trần bông nhẹ"",""Mùa"":""Mùa đông"",""Tính năng"":""Giữ nhiệt siêu ấm, cản gió rét"",""Hoàn cảnh"":""Du lịch xứ lạnh, Đi đường xa"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ cao ôm sát"",""Kiểu áo khoác"":""Áo khoác lót lông"",""Kiểu nút"":""Khóa kéo kim loại""}",null,650.000 đ
Áo khoác gió nam NOVAR EcoTech trượt nước kháng khuẩn thân thiện môi trường NV103,Áo khoác,NOVAR,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""NOVAR"",""Chất liệu"":""Sợi Polyester tái chế"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hiện đại, Sinh thái"",""Mẫu"":""Vân nhám tự nhiên"",""Mùa"":""Mùa thu"",""Tính năng"":""Kháng khuẩn, trượt nước thân thiện môi trường"",""Hoàn cảnh"":""Đi dạo, Đi dã ngoại"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ bẻ"",""Kiểu áo khoác"":""Áo khoác sinh thái"",""Kiểu nút"":""Khóa kéo sinh học""}",null,520.000 đ
Áo khoác gió nam NOVAR CityRider phối màu trẻ trung cản bụi đi xe máy NV104,Áo khoác,NOVAR,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""NOVAR"",""Chất liệu"":""Vải dù 2 lớp chống nhăn"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Streetstyle, Trẻ trung"",""Mẫu"":""Color Block (Khối màu)"",""Mùa"":""Thu Đông"",""Tính năng"":""Chống bám bụi, dễ vệ sinh"",""Hoàn cảnh"":""Đi cafe, Dạo phố, Đi xe máy"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ bomber"",""Kiểu áo khoác"":""Áo khoác Bomber gió"",""Kiểu nút"":""Khóa kéo""}",null,460.000 đ
Áo khoác gió nam NOVAR MaxDefend chống nước 100% lót nỉ ấm áp mùa đông NV105,Áo khoác,NOVAR,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""NOVAR"",""Chất liệu"":""Vải dù Gore-Tex lót nỉ"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Mạnh mẽ, Sinh tồn"",""Mẫu"":""Rằn ri (Camo)"",""Mùa"":""Mùa đông"",""Tính năng"":""Chống nước tuyệt đối, giữ ấm sâu"",""Hoàn cảnh"":""Leo núi, Trekking, Mặc trời mưa rét"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ liền"",""Kiểu áo khoác"":""Áo khoác chống nước"",""Kiểu nút"":""Khóa kéo bọc màng chống nước""}",null,790.000 đ
Áo khoác gió nam Routine 2 lớp cản gió chống nước nhẹ dáng suông basic dễ phối đồ mặc đi đường mùa thu đông,Áo khoác,Routine,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Routine"",""Chất liệu"":""Vải dù lót lưới"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Tối giản, Casual"",""Mẫu"":""Trơn"",""Mùa"":""Thu Đông"",""Tính năng"":""Cản gió, trượt nước nhẹ"",""Hoàn cảnh"":""Đi làm, Đi xe máy, Đi chơi"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu áo khoác"":""Áo khoác gió 2 lớp"",""Kiểu nút"":""Khóa kéo""}",null,450.000 đ
Áo Khoác Gió Nam Routine Form Regular Vải Dù Trượt Nước Siêu Nhẹ Tiện Lợi RT-KG01,Áo khoác,Routine,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Routine"",""Chất liệu"":""Nylon siêu nhẹ"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hiện đại, Năng động"",""Mẫu"":""Khối màu (Color Block)"",""Mùa"":""Mùa thu"",""Tính năng"":""Gọn nhẹ, dễ gấp gọn"",""Hoàn cảnh"":""Mặc hàng ngày, Đi phượt"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ cao đứng"",""Kiểu áo khoác"":""Áo khoác gió 1 lớp"",""Kiểu nút"":""Khóa kéo nhựa""}",null,390.000 đ
Áo Gió Routine Minimalist Windbreaker Jacket Basic Streetwear Cho Nam Nữ RT-W05,Áo khoác,Routine,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Routine"",""Chất liệu"":""Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Minimalist, Streetwear"",""Mẫu"":""Trơn thêu logo"",""Mùa"":""Bốn mùa"",""Tính năng"":""Cản gió, bền màu"",""Hoàn cảnh"":""Dạo phố, Đi học"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Có mũ tháo rời"",""Kiểu áo khoác"":""Windbreaker"",""Kiểu nút"":""Khóa kéo YKK"",""Rất lớn"":""Có""}",null,420.000 đ
Áo khoác gió thể thao nam Adidas chạy bộ siêu nhẹ cản gió thoát mồ hôi tốt tập gym ngoài trời,Áo khoác,Adidas,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Adidas"",""Chất liệu"":""Vải gió dệt kim (Primegreen)"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao chuyên nghiệp"",""Mẫu"":""3 sọc đặc trưng dọc tay áo"",""Mùa"":""Bốn mùa"",""Tính năng"":""Siêu nhẹ, cản gió lùa, thoát nhiệt"",""Hoàn cảnh"":""Chạy bộ, Đạp xe, Tập luyện"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ trụ ôm sát"",""Kiểu áo khoác"":""Áo khoác thể thao chạy bộ"",""Kiểu nút"":""Khóa kéo""}",null,1.250.000 đ
Áo Khoác Gió Adidas Originals Adicolor Classics Windbreaker Thể Thao Đường Phố AD-W02,Áo khoác,Adidas,"{""Danh Mục"":""Áo khoác gió"",""Thương hiệu"":""Adidas"",""Chất liệu"":""Vải dù (Recycled Nylon)"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Streetstyle, Retro"",""Mẫu"":""Logo Trefoil lớn sau lưng"",""Mùa"":""Mùa thu, Mùa đông"",""Tính năng"":""Chống nước nhẹ, form đứng"",""Hoàn cảnh"":""Đi chơi, Dạo phố, Mặc khoác ngoài"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ bẻ"",""Kiểu áo khoác"":""Retro Windbreaker"",""Kiểu nút"":""Khóa kéo và cúc bấm kim loại""}",null,1.850.000 đ
Áo phao nam dày Ultrawarm Puffer có mũ II giữ ấm chắn gió Coolmate,Áo khoác,Coolmate,"{""Danh Mục"":""Áo khoác phao"",""Thương hiệu"":""Coolmate"",""Chất liệu"":""Vải dày, lót bông giữ nhiệt"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Năng động, Hiện đại"",""Mẫu"":""Trơn / Puffer"",""Mùa"":""Thu Đông"",""Tính năng"":""Siêu ấm (Ultrawarm), Chắn gió, Giữ nhiệt tốt"",""Hoàn cảnh"":""Hằng ngày, Du lịch, Đi ngoài trời lạnh"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Có mũ trùm đầu"",""Kiểu nút"":""Khóa kéo (Zipper)"", ""Kiểu áo khoác"":""Áo khoác phao""}",https://shopee.vn/-X%E1%BA%A2-S%E1%BB%90C-%C3%81o-phao-nam-d%C3%A0y-Ultrawarm-Puffer-c%C3%B3-m%C5%A9-II-gi%E1%BB%AF-%E1%BA%A5m-ch%E1%BA%AFn-gi%C3%B3-%C3%81o-kho%C3%A1c-thu-%C4%91%C3%B4ng-si%C3%AAu-%E1%BA%A5m-Coolmate-i.24710134.47050887689?extraParams=%7B%22display_model_id%22%3A375077733323%2C%22model_selection_logic%22%3A3%7D&sp_atk=c3258d88-3ddb-4fa6-bb97-7793b230d380&xptdk=c3258d88-3ddb-4fa6-bb97-7793b230d380,424.000đ
Áo Khoác Phao Nam KRIK Form Regular Thiết Kế Cổ Bẻ AK5212,Áo khoác,KRIK,"{""Danh Mục"":""Áo khoác phao"",""Thương hiệu"":""KRIK"",""Chất liệu"":""Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Lịch sự, Hiện đại"",""Mẫu"":""Trơn"",""Mùa"":""Mùa đông"",""Tính năng"":""Giữ ấm tốt, Cản gió"",""Hoàn cảnh"":""Hằng ngày, Đi làm, Đi chơi"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ bẻ"",""Kiểu áo khoác"":""Áo khoác phao""}",https://shopee.vn/%C3%81o-Kho%C3%A1c-Phao-Nam-KRIK-Form-Regular-Ch%E1%BA%A5t-Li%E1%BB%87u-Polyester-Thi%E1%BA%BFt-K%E1%BA%BF-C%E1%BB%95-B%E1%BA%BB-Gi%E1%BB%AF-%E1%BA%A4m-T%E1%BB%91t-AK5212-i.200790122.56504038432?extraParams=%7B%7D,499.000 đ
Áo Khoác Phao BOO Unisex Chất Liệu Phao Bông Cao Cấp Dày Dặn,Áo khoác,BOO,"{""Danh Mục"":""Áo khoác phao"",""Thương hiệu"":""BOO"",""Chất liệu"":""Phao bông, 100% Polyester"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Đường phố, Trẻ trung"",""Mẫu"":""Trơn"",""Mùa"":""Mùa đông"",""Tính năng"":""Giữ ấm, Cản gió, Chắn nước, Khử khuẩn, Chống nấm mốc"",""Hoàn cảnh"":""Hằng ngày, Đi chơi, Du lịch"",""Chiều dài tay áo"":""Tay dài"",""Kiểu nút"":""Khóa kéo (Zipper)"",""Kiểu áo khoác"":""Áo khoác phao""}",https://shopee.vn/%C3%81o-Kho%C3%A1c-Phao-BOO-Unisex-Ch%E1%BA%A5t-Li%E1%BB%87u-Phao-B%C3%B4ng-Cao-C%E1%BA%A5p-D%C3%A0y-D%E1%BA%B7n-%E1%BA%A4m-%C3%81p-Kh%E1%BB%AD-Khu%E1%BA%A9n-Thi%E1%BA%BFt-K%E1%BA%BF-Tr%E1%BA%BB-Trung-i.17271526.26192630729?extraParams=%7B%22display_model_id%22%3A276873642117%2C%22model_selection_logic%22%3A3%7D,609.000 đ
Áo Khoác Gile Phao Nam KRIK Form Relax Cổ Trụ Chất Liệu Bền Bỉ AK5205,Áo khoác,KRIK,"{""Danh Mục"":""Áo khoác phao"",""Thương hiệu"":""KRIK"",""Chất liệu"":""Vải gió cao cấp, chần bông phao"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hiện đại, Năng động, Streetwear"",""Mẫu"":""Trơn / Khóa ẩn"",""Mùa"":""Thu Đông"",""Tính năng"":""Giữ ấm, Kháng nước nhẹ, Form Relax thoải mái, Cổ trụ che gió"",""Hoàn cảnh"":""Hằng ngày, Đi chơi, Hoạt động ngoài trời, Phối Layer"",""Chiều dài tay áo"":""Sát nách (Gile)"",""Kiểu cổ áo"":""Cổ trụ (Stand Collar)"",""Kiểu nút"":""Khóa kéo ẩn"",""Kiểu áo khoác"":""Áo khoác phao gile""}",https://shopee.vn/krik.vn,740.000đ
Áo khoác phao đại hàn PREMIUM PUFFER JACKET TORANO 3 lớp lót bông cổ cao FWCF005,Áo khoác,TORANO,"{""Danh Mục"":""Áo khoác phao"",""Thương hiệu"":""TORANO"",""Chất liệu"":""3 lớp lót bông, lớp ngoài chống nước nhẹ"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Nam tính, Hiện đại, Năng động"",""Mẫu"":""Trơn / Puffer Jacket"",""Mùa"":""Thu Đông"",""Tính năng"":""Giữ ấm đại hàn cực tốt, Chống nước, Giữ nhiệt, Cổ cao che gió"",""Hoàn cảnh"":""Du lịch mùa đông, Đi ngoài trời lạnh, Hằng ngày"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ cao (Stand Collar)"",""Kiểu nút"":""Khóa kéo (Zipper)"",""Kiểu áo khoác"":""Áo khoác phao""}",https://shopee.vn/%C3%81o-kho%C3%A1c-phao-%C4%91%E1%BA%A1i-h%C3%A0n-PREMIUM-PUFFER-JACKET-TORANO-3-l%E1%BB%9Bp-l%C3%B3t-b%C3%B4ng-c%E1%BB%95-cao-Gi%E1%BB%AF-%E1%BA%A4m-C%E1%BB%B1c-T%E1%BB%91t-Gi%E1%BB%AF-Nhi%E1%BB%87t-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-FWCF005-i.835435.49304052919?extraParams=%7B%22display_model_id%22%3A330382879004%2C%22model_selection_logic%22%3A3%7D&sp_atk=d5a69c9d-766b-4ad8-97b5-f562a807900d&xptdk=d5a69c9d-766b-4ad8-97b5-f562a807900d,499.000đ
Áo khoác phao nam CANIFA chần bông Ultra Air siêu nhẹ siêu ấm PS25 8OT25W027,Áo khoác,CANIFA,"{""Danh Mục"":""Áo khoác phao"",""Thương hiệu"":""CANIFA"",""Chất liệu"":""Chần bông Ultra Air"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Basic, Trẻ trung, Năng động"",""Mẫu"":""Trơn / Chần bông ngang"",""Mùa"":""Thu Đông"",""Tính năng"":""Siêu nhẹ (Ultra-light), Siêu ấm, Cản gió, Khóa kéo cao cổ"",""Hoàn cảnh"":""Đi làm, Đi học, Đi đường, Du lịch mùa đông"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ đứng"",""Kiểu khóa"":""Khóa kéo (Zipper)""}",https://shopee.vn/%C3%81o-kho%C3%A1c-phao-nam-CANIFA-ch%E1%BA%A7n-b%C3%B4ng-Ultra-Air-si%C3%AAu-nh%E1%BA%B9-si%C3%AAu-%E1%BA%A5m-PS25-8OT25W027-i.70681764.19085741878?extraParams=%7B%22display_model_id%22%3A276848458099%2C%22model_selection_logic%22%3A3%7D&sp_atk=291f8ad8-b3bd-44a5-90ae-a10f2c65ccb4&xptdk=291f8ad8-b3bd-44a5-90ae-a10f2c65ccb4,849.000đ
